Time (h) 1L;1L (mean);1L (std);Time (h) 3L;3L (mean);3L (std);Time (h) 5L;5L (mean);5L (std);Time (h) 285L;285L (mean);285L (std)
-1.440205743677668;-1.400000021604607;-1.4000001047262436;-1.4825764800821655;-1.400000063523383;-1.4000004462219104;-1.4226953786595693;-1.4000000170545457;0.0;-1.4572941056703657;-1.400000033867911;-1.4000002326656058
-1.4389534883720931;-1.4000000197902578;-1.400000148851557;-1.4801366937206322;-1.400000060421854;-1.4000004813627158;-1.4205792014041247;-1.4000000158312238;-1.4000009380006284;-1.456574185765983;-1.400000032337011;-1.4000002166592467
-1.4340101522842639;-1.4000000181359116;-1.4000001514130092;-1.4776222329494517;-1.4000000577818632;-1.4000004764885996;-1.4198182970631732;-1.4000000150380763;-1.4000003949474797;-1.4557338086749854;-1.400000030810755;-1.4000001961642974
-1.4331097776208965;-1.4000000176772676;-1.4000001373436473;-1.4602053915275994;-1.4000000453817705;-1.4000002819235355;-1.418185343156262;-1.4000000140261684;-1.400001072000821;-1.4546646593171775;-1.4000000289824146;-1.400000165424574
-1.432820153953814;-1.400000017080425;-1.4000001409328005;-1.4601892946901234;-1.4000000453705848;-1.4000002817693284;-1.4175885992874555;-1.4000000139479556;-1.4000007504004022;-1.4537381839014611;-1.400000028400473;-1.4000001623698497
-1.431980906921241;-1.4000000155900278;-1.4000001324143785;-1.4587903478533375;-1.400000044876019;-1.4000002905603937;-1.4162903786036818;-1.4000000131649124;-1.4000003752001005;-1.4444971537001898;-1.400000023834744;-1.4000001584080572
-1.431183510638298;-1.4000000148300398;-1.4000001638027328;-1.457513668182515;-1.4000000444150127;-1.4000002975345565;;;;-1.4438898853622397;-1.4000000233704515;-1.4000001690022736
-1.427933293627159;-1.4000000128260608;-1.4000001314319552;-1.4565173729664593;-1.4000000439683755;-1.400000306590754;;;;-1.4434661723818352;-1.4000000232231358;-1.4000001832021192
-1.4273230410719489;-1.4000000124238412;-1.400000127302312;-1.4553229135948098;-1.4000000435903592;-1.4000003267546466;;;;-1.442481884057971;-1.400000023345778;-1.4000002755538332
-1.4271255060728745;-1.400000012218182;-1.400000142337132;-1.454190939290357;-1.4000000430955946;-1.400000347199422;;;;-1.4419436577731406;-1.400000023554688;-1.4000003390512652
