Time (hour);C0 = 1 R1;C0 = 1 R2;C0 = 1 R3;C0 = 1 R4;C0 = 1 R5;C0 = 1 R6;C0 = 1 R7;C0 = 1 R8;C0 = 1 R9;C0 = 1 R10;C0 = 1 R11;C0 = 1 R12;C0 = 1 R13;C0 = 1 R14;C0 = 1 R15;C0 = 1 R16;C0 = 1 R17;C0 = 1 R18;C0 = 1 R19;C0 = 1 R20;C0 = 1 R21;C0 = 1 R22;C0 = 1 R23;C0 = 1 R24;C0 = 1/2 R1;C0 = 1/2 R2;C0 = 1/2 R3;C0 = 1/2 R4;C0 = 1/2 R5;C0 = 1/2 R6;C0 = 1/2 R7;C0 = 1/2 R8;C0 = 1/2 R9;C0 = 1/2 R10;C0 = 1/2 R11;C0 = 1/2 R12;C0 = 1/2 R13;C0 = 1/2 R14;C0 = 1/2 R15;C0 = 1/2 R16;C0 = 1/4 R1;C0 = 1/4 R2;C0 = 1/4 R3;C0 = 1/4 R4;C0 = 1/4 R5;C0 = 1/4 R6;C0 = 1/4 R7;C0 = 1/4 R8;C0 = 1/4 R9;C0 = 1/4 R10;C0 = 1/4 R11;C0 = 1/4 R12;C0 = 1/4 R13;C0 = 1/4 R14;C0 = 1/4 R15;C0 = 1/4 R16;C0 = 1/8 R1;C0 = 1/8 R2;C0 = 1/8 R3;C0 = 1/8 R4;C0 = 1/8 R5;C0 = 1/8 R6;C0 = 1/8 R7;C0 = 1/8 R8;C0 = 1/8 R9;C0 = 1/8 R10;C0 = 1/8 R11;C0 = 1/8 R12;C0 = 1/8 R13;C0 = 1/8 R14;C0 = 1/8 R15;C0 = 1/8 R16;C0 = 1/16 R1;C0 = 1/16 R2;C0 = 1/16 R3;C0 = 1/16 R4;C0 = 1/16 R5;C0 = 1/16 R6;C0 = 1/16 R7;C0 = 1/16 R8;C0 = 1/16 R9;C0 = 1/16 R10;C0 = 1/16 R11;C0 = 1/16 R12;C0 = 1/16 R13;C0 = 1/16 R14;C0 = 1/16 R15;C0 = 1/16 R16
168.5683333;0.953826851;1.205555556;1.124899058;1.1716244;1.104672897;1.247847565;1.385449146;1.383382789;0.935;0.900429185;0.924659232;1.052287582;1.157600545;1.113060951;1.238537271;1.589;1.373096822;1.305118962;1.22745098;1.205555556;1.128301887;1.225612316;1.297340043;1.373096822;1.008;0.867;0.868;0.945;0.925;0.951;1.037;1.336;0.933;0.8;0.819;0.812;1.058;0.89;1.047;1.26;0.534;;0.533;0.594;0.58;0.63;;0.997;0.62;0.523;0.533;0.522;0.528;0.565;0.725;1.145;;;;;;;;;;;;;;;;;;;;;;;;;;;0.187;;;;;
170.9241667;1.033203632;1.242253521;1.138565629;1.19833795;1.175154427;1.303170029;1.429562594;1.657864711;0.922;0.937694704;0.949405135;1.068421053;1.178694158;1.104672897;1.236683064;;1.383382789;1.314905933;1.28;1.247847565;1.16284153;1.255343241;1.332702112;1.414703676;1.013;0.863;0.858;0.952;0.934;0.962;1.051;1.34;0.943;0.802;0.822;0.817;1.068;0.893;1.059;1.304;0.585;;;0.542;0.536;0.614;;0.943;0.614;0.494;0.52;0.521;0.529;0.563;0.709;1.148;;;;;;;;;;;;;;;;;;;;;;;;;0.18;;0.17;;;;;
176.5941667;0.986768448;1.348717949;1.159345157;1.220111732;1.236683064;1.4;1.499536321;1.965022422;0.884;0.889200732;0.937694704;1.104672897;1.196539792;1.08806366;1.244115574;;1.379259259;1.352751284;1.362886598;1.326744186;1.245980254;1.32476398;1.387518574;1.538136257;1.006;0.86;0.85;0.96;0.943;0.971;1.068;1.38;0.938;0.818;0.828;0.838;1.095;0.92;1.091;1.399;0.559;0.522;;0.509;0.515;0.575;;;0.634;0.444;0.526;0.528;0.529;0.547;0.709;1.012;;;0.296;;;;0.388;;;;;;;;0.35;;;;;;;;0.247;;0.173;;0.167;;;;;
177.37;1.041119063;1.334693878;1.14028436;1.191160221;1.231136045;1.377202073;1.483935434;1.95;0.848;0.875318375;0.950877193;1.093023256;1.185802895;1.08806366;1.234831461;;1.383382789;1.350733138;1.36900369;1.330713246;1.251590106;1.322786647;1.4;1.547368421;0.991;0.841;0.846;0.949;0.938;0.969;1.061;1.404;0.924;0.803;0.818;0.827;1.088;0.917;1.091;1.377;0.502;0.486;;0.493;0.496;0.563;0.648;1.052;0.613;0.444;0.506;0.508;0.513;0.528;0.704;1.142;0.289;;0.263;;0.29;;0.357;;;;;;;0.295;0.344;;0.083;;;;;;0.213;;0.154;0.158;0.151;0.184;;;;
190.8030556;1.078203435;1.556658786;1.201941748;1.242253521;1.36900369;1.655374593;1.611235955;2.314851485;0.884;0.867069486;0.916049383;1.121505376;1.203747398;1.098002663;1.309025271;;1.418933133;1.46631016;1.526677067;1.486153846;1.408383234;1.46631016;1.535837246;1.804099061;1.044;0.876;0.896;0.993;0.986;1.03;1.121;1.478;0.919;0.853;0.868;0.87;1.126;0.973;1.147;1.507;0.556;0.503;;0.519;0.542;0.586;0.671;;0.655;0.52;0.542;0.549;0.544;0.556;0.72;;0.272;0.208;;;0.272;0.264;0.392;;;;0.304;0.275;;0.294;0.365;0.338;0.093;0.146;0.148;;0.19;0.206;0.232;;0.174;0.163;0.162;0.184;;;;
195.18;1.178694158;1.647928513;1.28575519;1.309025271;1.45106383;1.768918919;1.742378559;2.448205128;0.914;0.901840491;0.971681416;1.16284153;1.247847565;1.133423363;1.385449146;1.479;1.468501529;1.515306915;1.594413408;1.554330709;1.468501529;1.508527132;1.561325967;1.848484848;1.075;0.915;0.934;1.03;1.015;1.05;1.137;1.56;0.976;0.888;0.905;0.905;1.15;0.998;1.172;;0.581;0.533;;0.53;0.587;0.625;0.685;;0.674;0.55;0.588;0.59;0.591;0.591;0.725;;0.258;0.213;;;0.282;0.267;0.399;;;;0.303;0.277;;0.293;0.374;0.313;0.101;0.153;0.154;0.185;0.194;0.215;0.258;;0.172;0.165;0.161;0.178;0.175;;;
197.1791667;1.289605735;1.635598706;1.297340043;1.330713246;1.461937452;1.768918919;1.752941176;2.38989899;0.926;0.910344828;0.988287715;1.16284153;1.255343241;1.157600545;1.429562594;1.49;1.486153846;1.506274206;1.604003203;1.563665087;1.470696251;1.526677067;1.592025518;1.911562224;1.073;0.93;0.939;1.029;1.014;1.059;1.155;1.564;0.955;0.878;0.896;0.907;1.152;0.998;1.178;;0.591;0.546;;0.518;0.585;0.63;0.701;;0.666;0.537;0.577;0.577;0.583;0.605;0.736;;0.247;0.202;;;0.271;0.264;0.397;;;;0.284;0.261;0.287;0.286;0.363;0.332;0.106;0.139;0.139;0.173;0.183;0.209;0.269;;0.146;0.16;0.153;0.172;0.162;;;
198.9597222;1.326744186;1.695709571;1.336688549;1.373096822;1.513043478;1.856944444;1.809580838;2.520585162;0.911;0.917479926;1.017525773;1.157600545;1.259107016;1.155858311;1.475095785;1.51;1.48172043;1.52211838;1.61607717;1.577777778;1.48172043;1.526677067;1.606410256;1.952993744;1.089;0.939;0.952;1.042;1.027;1.066;1.156;1.586;0.959;0.889;0.902;0.909;1.16;1.005;1.185;;0.623;0.569;;0.547;0.597;0.631;0.697;;0.675;0.53;0.588;0.586;0.592;0.607;0.744;;0.25;0.206;;;0.266;0.254;0.378;;;0.262;0.273;0.249;0.283;0.279;0.364;;0.1;0.137;0.135;0.172;0.174;0.2;0.263;;0.135;0.15;0.147;0.16;0.154;0.192;;
214.4977778;1.448899013;1.998550725;1.488375674;1.504024768;1.690609555;2.067652495;2.051701932;2.75503876;0.973;0.988287715;1.103002001;1.185802895;1.287679083;1.180467675;1.650406504;;1.700826446;1.655374593;1.77428088;1.734502924;1.635598706;1.660358891;1.729274395;2.405273834;1.207;1.033;1.042;1.106;1.093;1.126;1.224;1.706;1.019;0.947;0.97;0.996;1.197;1.063;1.238;;0.719;0.612;;0.646;0.681;0.716;0.737;;0.728;0.551;0.631;0.611;0.636;0.678;0.761;;0.291;0.243;;;0.293;0.269;0.413;;;0.252;0.29;0.27;0.299;0.299;0.396;;0.148;0.167;0.159;0.196;0.198;0.22;0.28;;0.164;;0.173;0.193;;0.218;;
219.6572222;1.556658786;1.98018018;1.535837246;1.556658786;1.776968671;2.249805447;2.123004695;;1.002;1.012861736;1.150645819;1.189371981;1.305118962;1.210995129;1.693157461;;1.731886477;1.698265896;1.806837607;1.768918919;1.672891073;1.693157461;1.798635976;2.484057971;1.214;1.044;1.052;1.116;1.097;1.132;1.233;1.722;1.023;0.954;0.975;1.008;1.208;1.07;1.248;;0.674;0.609;;0.664;0.669;0.73;0.739;;0.742;0.516;0.591;0.573;0.606;0.69;0.772;;0.313;0.217;;;0.293;0.264;0.385;;;0.247;0.276;0.253;0.292;0.288;0.384;;0.129;0.153;0.147;0.184;0.19;0.21;0.28;;0.171;;0.164;0.18;;0.213;;
