Time (h) 1L;1L (mean);1L (std);Time (h) 3L;3L (mean);3L (std);Time (h) 5L;5L (mean);5L (std);Time (h) 285L;285L (mean);285L (std)
137.0;292529411.7647059;28547093.772579346;69.06666666666666;85334062.5;12237814.646586983;;;;89.0;161563025.21008405;20480115.11741474
140.0;302000000.0;29473151.624260794;70.5;86074081.22659175;11482624.389843037;;;;91.0;160714285.71428573;13616216.822018433
141.0;307083333.3333333;26359954.897955008;71.91666666666667;87062265.917603;10806472.27391926;;;;92.13333333333334;159288888.8888889;11066175.80348242
144.0;321000000.0;21275964.52964393;72.03333333333333;87141261.26126125;10767614.075571619;;;;93.0;160904761.90476188;10543291.598567598
147.0;326862745.0980392;14703555.371450907;73.5;88756224.19371188;10582427.932025636;;;;94.0;164862126.94409415;12036242.81576611
161.0;340313725.49019605;13858931.166842338;75.0;90050492.86998907;10592790.674777782;;;;95.16666666666667;169267618.08760855;14207618.84397056
164.0;342166666.6666667;17768574.00643682;89.05;101546363.65765819;12032895.373142807;;;;96.05;171090614.8867314;14446299.809219563
165.0;344674418.60465115;17763920.6706034;89.11666666666666;101652545.38178907;12116596.473466117;;;;111.16666666666667;195279936.86615562;15754593.731511386
168.0;350364341.0852713;15610089.664860712;89.83333333333333;103082658.41979563;13030441.55472207;;;;112.33333333333333;197290610.34870958;15672533.36137679
171.16666666666666;358026143.7908497;15282569.239206975;92.0;107651664.13982493;15776581.206282986;;;;113.0;198231884.057971;15489058.818378378
185.0;373811881.18811876;27496867.181556936;92.9;110376595.74468085;15877333.793300558;;;;115.0;201797101.44927537;15647234.862178626
188.0;376857142.85714287;29710393.51797949;93.83333333333333;113049642.58568367;14999297.378858319;;;;116.16666666666667;205277777.7777778;13945883.059920844
192.0;380095238.09523803;32201815.41621176;95.91666666666667;118661151.36227286;13601903.469854273;;;;116.66666666666667;207443409.24775708;13485845.681155236
195.0;380725490.1960785;31928132.003386654;96.06666666666666;118975387.00971344;13626092.545745088;;;;118.5;217217391.30434784;13689370.540112464
209.0;371576923.0769231;35618887.2398497;96.11666666666666;119062835.2141543;13609487.21935129;;;;119.23333333333333;220037037.03703704;15238054.306235446
212.33333333333334;371079365.0793651;39156745.1771689;97.5;120202375.0190884;12700573.406790622;;;;120.0;221877902.6880293;16632404.496326877
216.0;378587301.58730155;37548161.73241371;99.0;121449384.2270673;11726061.273537092;;;;135.0;235436738.7792181;20594292.56652591
219.33333333333334;383993464.0522876;34176589.957505986;112.65;131021974.01378834;5453016.2946743015;;;;136.35;236558170.39106146;21153411.07663836
233.0;406158730.1587302;21456184.442813724;113.0;131495902.32608166;5588292.433793498;;;;137.9;240810972.85067877;20900770.358798206
;;;114.0;132444185.71144411;5865774.612756119;;;;139.0;243508822.33235177;20698771.208630886
;;;115.83333333333333;133997520.06609008;7191462.319393806;;;;140.03333333333333;247507054.67372134;18938321.083837576
;;;117.06666666666666;134679969.82306194;8329989.566534309;;;;141.05;250379824.5614035;17136498.651313487
;;;117.11666666666666;134629629.62962964;8254050.379802944;;;;142.0;251009499.35815153;13237199.786286836
;;;118.5;134610416.66666666;5887850.529197109;;;;143.2;250251936.87230992;11269207.858680896
;;;119.83333333333333;134332638.8888889;5280368.65317432;;;;144.46666666666667;248401453.43057075;9737489.672247114
